Name,Synergies,Counters,Countered_By,Tags,Anti-Synergy,Global Notes,
Manta,Dylan,"Bart,Armour_Tank",None,"True Damage,Assassin,Crit",,,
Mihawk,"Search,Discard,Justice,Bond",Tank,None,True Damage,,,
Digo,Tank,"Armour,Assassin",None,True Damage,,,
Lubos,Targeting,None,Anna,"Targeting,Assassin",,,
Xiangxi Ke,Targeting,"Squishy,Backline",None,"Targeting,Assassin",,,
Leon,Targeting,"Tank,Deep Space",None,Targeting,,,
Peter,"Deep Space,Crank",Targeting,Mihawk,"Tank,Taunt",,,
Miki,Shield,None,Hass,"Tank,Shield",,,
Merisi,"Multi-Attacker,Buff",None,Mihawk,"Tank,Lane Bully",,,
Big Foot,Babe,"Multi-Attacker,Tank",Wukong,"Tank,Debuff",,,
Cubey,"Search,Max Health Buff",None,Mihawk,Tank,,,
Frank,"Gang,Kid",Lane Bully,None,Tank,,,
Qin Hu,Solo_Squishy,Kill Dependent,"Targeting,Foso","Summon,Shield",,,
Kaka,"Search,Discard",None,None,Summon,,,
Niels,Shield,"AoE,Deep Space","Assassin,Skirmisher,Leon,AoE",Squishy,,,
Zealot,Buff,None,AoE,"Skirmisher,Multi-Attacker",,,
Aurelio,"Dylan,Felicity",None,"Bart,Hass","Skirmisher,Initiator,Fighter",,,
Bond,Mihawk,None,None,"Skirmisher,ADC",,,
Babe,"Big Foot,Buff",None,None,Skirmisher,,"Some buffs are targeted (need health, need temp), if a hero mentions just Buff, it means all types of buffs",
Palulu,None,Tiger Boy,Hass,Shield,,,
Blocker,"Felyn,Cubey,Dylan,Lan",None,None,Search,,,
Reinhardt,"Round 1 Damage,Tank,Backline",None,None,"Round 1 Damage,One Slap Chap,Initiator",,,
Hakuna,Round 1 Damage,None,None,"Round 1 Damage,Initiator",,,
Felyn,"Search,Field","Gang,Armour_Squishy","Lady Deadfire,Gillis,Bart","Round 1 Damage,Field,Squishy,Lane Bully,Push",,,
Gang,"Peiniang Zhu,Field,Frank,Heal","Deep Space,Zealot",None,"Push,AoE",,,
Justice,Mihawk,Frank,None,Push,,,
Deep Space,"Tank,Shield",None,"AoE,Crank,Big Foot,Assassin","Physical,Ranged,ADC",,,
Chen Fengcheng,None,Solo_Squishy,"Skirmisher,Anna",One Slap Chap,,,
Kamaitachi,Multi-Attacker,Multi-Attacker,Counters Multi-Attacker,"Multi-Attacker,Long Fight",,,
Mo,Kid,"Charon,Enidi",None,"Multi-Attacker,Fighter",,,
Bunu Shan,"AP Buff,Multi-Attacker,Skirmisher",None,"Lane Bully,Push","Magic,Ranged",,,
Wolfgang,None,None,"Burst,Hass,Wukong","Long Fight,Lane Bully",,,
Fernan,"Aurelio,Peiniang Zhu,Tiger Boy,BaJie,Reinhardt,Lubos,Cubey,Hakuna,Niels,Babe,Crank,Paisai,Lan,Ada,Qin Hu,Quinn,Foso,Anna,Leon",None,Hass,Lifesteal,,,
Nihil,Targeting_Assassin,None,Hass,Lifesteal,,,
Qube,Multi-Attacker,Solo_Squishy,"Solo_Tank,Felicity","Lane Bully,High Damage",,,
Lan,"Lady Deadfire,Search",Squishy,"Tank,Gillis","Kill Dependent,Burst,Assassin,Skirmisher",,,
Tivie,"Cubey,Wolfgang",Debuff,None,Heal,,,
Kid,"Assassin,Gillis,Mo",Attrition,"Hass,High Damage,Tank",Gold Generation,,,
Acedia,None,"Gillis,Lubos,Reinhardt",None,Gold Generation,,,
Wukong,Dylan,Debuff,Mihawk,Debuff Reflection,Temp Buff,,
Crank,"Peiniang Zhu,Targeting_Assassin,Zealot","Deep Space,Kid,Multi-Attacker",Wukong,Debuff,,,
